"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"IMP_C301",0.084,0.002,16.094,0.003,0.006,0.002,0.015,0.013,0.63,0.095,0.057,0.177,0.144,0.899,0.031,0.505,0.257,2.501,0.54,4.921,11.572,1.858,5.132,1.516,301.356,189.33,28.48,0.278,0.265,7.858,0.447,6.985,0.057,1.152,3.101,0.01,0.218,0.023,0.023,0.035,0.009,0.035,0.176,0.169,1.908,0.096,0.161,0.079,0.072,0,3.078,0,0.036,161.989,0.419,0.099,0,0,0,754.999
"IMP_C302T309",0.106,0.031,0.851,0.003,0.005,0.002,0.016,0.013,0.394,0.233,0.042,0.143,0.173,1.46,0.06,0.984,0.286,1.443,0.544,2.162,12.615,2.317,4.991,32.643,419.833,933.961,294.384,0.262,0.108,5.622,61.588,3.788,0.308,36.636,0.41,0.038,0.298,0.093,0.114,0.57,0.139,0.175,20.856,0.671,69.541,1.133,16.467,0.107,4.36,0,1439.223,0.008,49.52,1509.609,3.956,0.653,0,0,0,4935.947
"IMP_C31T33",4.401,0.356,16.506,0.104,0.477,0.07,0.572,0.579,22.259,40.911,6.542,30.054,12.473,136.365,12.391,36.297,12.348,283.733,41.251,55.353,1502.922,38.726,79.34,40.233,16.96,21.34,734.544,41.528,58.377,165.615,68.471,85.061,4.508,169.17,20.722,4.662,26.365,6.758,10.66,11.007,25.984,11.552,71.869,41.256,86.99,72.249,596.679,42.799,65.993,0,1837.022,0.174,62.658,1593.617,3.856,208.762,0,0,0,8541.474
"IMP_D",0.518,0.002,0.193,0.068,0.044,0.038,0.351,0.195,0.942,0.658,0.143,0.645,18.245,10.233,0.615,1.097,3.369,8.473,0.414,0.974,10.624,3.558,2.46,0.596,0.344,0.271,1.408,16.161,0.297,6.445,3.303,1.968,0.187,2.485,0.348,0.128,0.519,0.284,0.281,0.477,0.376,0.892,1.266,0.519,1.764,0.294,2.985,0.117,0.331,0,11.126,0.019,3.886,13.242,0.025,11.582,0,0,0,147.789
"IMP_E",0.524,0,0.033,0.004,0.007,0.003,0.022,0.015,0.874,0.472,0.065,0.271,1.003,6.424,0.153,1.075,0.419,0.94,0.359,0.679,5.458,0.847,1.169,0.292,0.153,0.146,0.616,0.658,0.087,2.164,1.022,0.124,0.039,0.205,0.064,0.018,0.704,0.079,0.104,0.194,0.106,0.266,0.416,0.188,0.537,0.098,0.445,0.053,0.108,0,5.64,0.006,0.471,5.587,0.012,3.941,0,0,0,45.359
"IMP_F",0.632,0.007,0.155,0.042,0.05,0.019,0.151,0.099,2.065,1.263,0.668,1.064,5.398,8.038,0.416,1.825,5.514,14.988,1.757,2.37,34.758,2.457,4.473,1.996,0.54,0.571,4.415,11.648,0.829,14.297,7.176,1.867,0.45,4.133,0.753,0.179,1.598,0.479,0.826,2.231,1.016,1.762,2.134,0.796,4.035,0.507,1.99,0.383,0.538,0,14.475,0.049,2.036,26.425,0.045,50.49,0,0,0,248.88
"IMP_G",405.015,0.218,33.578,5.173,3.054,3.157,30.167,17.195,948.897,550.644,52.48,255.055,641.011,3269.009,189.797,581.729,328.507,1069.009,312.713,612.648,6956.363,740.576,1431.327,428.199,194.392,225.804,757.392,612.962,63.845,1460.506,931.868,172.39,20.072,195.531,35.547,6.54,492.254,126.84,105.678,62.632,26.885,39.116,258.07,124.258,211.849,103.659,854.701,53.149,83.698,0,7139.156,2.296,939.04,8860.408,22.629,1187.628,0,0,0,44236.315
"IMP_H49",31.5,0.173,4.324,2.724,2.785,1.645,15.562,10.566,86.638,37.035,11.041,28.427,239.502,234.423,10.195,43.772,115.648,248.784,32.852,101.8,557.977,107.615,162.079,41.921,23.416,34.361,95.122,205.77,38.395,363.432,209.719,40.648,16.955,26.084,77.582,67.483,57.755,17.096,6.8,18.056,37.996,23.401,74.847,40.262,46.747,48.889,117.494,7.622,32.443,0,968.174,0.359,120.1,595.989,1.51,1656.248,0,0,0,7199.745
"IMP_H50",5.353,0.008,5.68,0.155,1.112,0.085,3.754,0.475,13.183,8.437,1.98,6.518,67.892,78.148,2.241,17.324,16.889,49.607,8.397,36.759,361.514,46.282,52.923,8.687,5.65,5.313,44.624,39.56,2.273,65.133,18.13,29.81,245.822,7.312,46.134,0.796,8.038,3.798,1.946,1.97,0.779,0.738,8.521,12.04,13.963,7.242,11.921,1.165,9.628,0,200.263,0.059,7.292,361.912,0.92,369.433,0,0,0,2325.585
"IMP_H51",3.984,0.006,0.563,0.058,0.186,0.039,0.395,0.231,12.397,4.77,1.751,4.804,2.05,34.739,1.517,7.03,5.001,5.894,1.434,7.331,111.514,13.467,31.327,4.278,1.517,1.854,12.971,0.844,0.904,25.825,35.613,4.467,3.127,11.771,3.736,126.649,8.927,3.209,1.316,1.613,1.745,1.056,9.182,7.801,17.676,14.688,9.239,1.422,20.56,0,272.223,0.05,9.12,86.566,0.2,1100.367,0,0,0,2051.009
